,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
11,Arsenal,Crystal Palace,2023-03-19,14:00:00,Matchweek 28,Sun,Away,L,1,4,0,0,0.35,0.8,0.6,0.7,0.15,0.6,0.7,0.6,0.7,0.55,0.5,0.05,0.6,0.55,0.95,0.7,0.75,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.5,0.10000000000000009,-0.20000000000000007,0.29999999999999993,-0.7,-0.050000000000000044,0.44999999999999996,0.3,0.09999999999999998,-0.29999999999999993,-0.19999999999999996,-0.6499999999999999,0.35,0.4,-0.050000000000000044,0.49999999999999994,0.65
13,Arsenal,Everton,2023-03-01,19:45:00,Matchweek 7,Wed,Away,L,0,4,0,0,0.25,0.45,0.3,0.55,0.55,0.15,0.8,0.85,0.15,0.15,0.2,1.0,0.5,0.95,0.55,0.95,0.25,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.6,-0.24999999999999994,-0.5,0.15000000000000002,-0.29999999999999993,-0.5,0.55,0.55,-0.44999999999999996,-0.7,-0.49999999999999994,0.30000000000000004,0.25,0.7999999999999999,-0.44999999999999996,0.75,0.15
14,Arsenal,Fulham,2022-08-27,17:30:00,Matchweek 4,Sat,Away,L,1,2,0,0,0.95,0.25,0.35,0.85,0.6,0.55,0.3,0.6,0.55,0.25,0.2,0.6,0.8,0.6,0.95,0.85,0.6,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.09999999999999998,-0.44999999999999996,-0.45000000000000007,0.44999999999999996,-0.25,-0.09999999999999998,0.04999999999999999,0.3,-0.04999999999999993,-0.6,-0.49999999999999994,-0.09999999999999998,0.55,0.44999999999999996,-0.050000000000000044,0.6499999999999999,0.5
15,Arsenal,Fulham,2023-03-12,14:00:00,Matchweek 27,Sun,Home,L,0,3,0,1,0.95,0.25,0.35,0.85,0.6,0.55,0.3,0.6,0.55,0.25,0.2,0.6,0.8,0.6,0.95,0.85,0.6,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.09999999999999998,-0.44999999999999996,-0.45000000000000007,0.44999999999999996,-0.25,-0.09999999999999998,0.04999999999999999,0.3,-0.04999999999999993,-0.6,-0.49999999999999994,-0.09999999999999998,0.55,0.44999999999999996,-0.050000000000000044,0.6499999999999999,0.5
16,Arsenal,Leeds United,2022-10-16,14:00:00,Matchweek 11,Sun,Home,L,0,1,0,1,0.1,0.1,0.4,0.35,0.2,0.5,0.45,0.55,0.85,0.65,0.4,0.9,0.35,0.4,0.85,1.0,0.4,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.75,-0.6,-0.4,-0.050000000000000044,-0.6499999999999999,-0.15000000000000002,0.2,0.25000000000000006,0.25,-0.19999999999999996,-0.29999999999999993,0.20000000000000007,0.09999999999999998,0.25,-0.15000000000000002,0.8,0.30000000000000004
17,Arsenal,Leeds United,2023-04-01,15:00:00,Matchweek 29,Sat,Away,L,1,4,0,0,0.1,0.1,0.4,0.35,0.2,0.5,0.45,0.55,0.85,0.65,0.4,0.9,0.35,0.4,0.85,1.0,0.4,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.75,-0.6,-0.4,-0.050000000000000044,-0.6499999999999999,-0.15000000000000002,0.2,0.25000000000000006,0.25,-0.19999999999999996,-0.29999999999999993,0.20000000000000007,0.09999999999999998,0.25,-0.15000000000000002,0.8,0.30000000000000004
18,Arsenal,Leicester City,2022-08-13,15:00:00,Matchweek 2,Sat,Away,L,2,4,0,0,0.7,0.25,0.65,1.0,0.35,0.7,0.6,0.45,0.65,0.9,0.8,0.1,0.45,0.05,0.2,0.9,0.65,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.15000000000000002,-0.44999999999999996,-0.15000000000000002,0.6,-0.5,0.04999999999999993,0.35,0.15000000000000002,0.050000000000000044,0.050000000000000044,0.10000000000000009,-0.6,0.2,-0.09999999999999999,-0.8,0.7,0.55
19,Arsenal,Leicester City,2023-02-25,15:00:00,Matchweek 25,Sat,Home,L,0,1,0,1,0.7,0.25,0.65,1.0,0.35,0.7,0.6,0.45,0.65,0.9,0.8,0.1,0.45,0.05,0.2,0.9,0.65,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.15000000000000002,-0.44999999999999996,-0.15000000000000002,0.6,-0.5,0.04999999999999993,0.35,0.15000000000000002,0.050000000000000044,0.050000000000000044,0.10000000000000009,-0.6,0.2,-0.09999999999999999,-0.8,0.7,0.55
20,Arsenal,Liverpool,2022-10-09,16:30:00,Matchweek 10,Sun,Away,L,2,3,0,0,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.09999999999999998,0.20000000000000007,0.17499999999999993,0.35,0.09999999999999998,0.29999999999999993,0.09999999999999998,-0.15,0.4,0.09999999999999998,0.050000000000000044,0.15000000000000002,-0.15,0.19999999999999998,-0.85,0.2,0.9
21,Arsenal,Liverpool,2023-04-09,16:30:00,Matchweek 30,Sun,Home,D,2,2,0,1,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.09999999999999998,0.20000000000000007,0.17499999999999993,0.35,0.09999999999999998,0.29999999999999993,0.09999999999999998,-0.15,0.4,0.09999999999999998,0.050000000000000044,0.15000000000000002,-0.15,0.19999999999999998,-0.85,0.2,0.9
22,Arsenal,Manchester City,2023-02-15,19:30:00,Matchweek 12,Wed,Away,W,3,1,1,0,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.050000000000000044,0.30000000000000004,0.17499999999999993,0.5,0.15000000000000002,0.35,-0.2,-0.25,0.35,-0.39999999999999997,0.30000000000000004,-0.19999999999999996,0.30000000000000004,0.15,-0.4,-0.15000000000000002,0.8
23,Arsenal,Manchester City,2023-04-26,20:00:00,Matchweek 33,Wed,Home,W,4,1,1,1,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.050000000000000044,0.30000000000000004,0.17499999999999993,0.5,0.15000000000000002,0.35,-0.2,-0.25,0.35,-0.39999999999999997,0.30000000000000004,-0.19999999999999996,0.30000000000000004,0.15,-0.4,-0.15000000000000002,0.8
24,Arsenal,Manchester Utd,2022-09-04,16:30:00,Matchweek 6,Sun,Home,W,3,1,1,1,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.09999999999999998,-0.1499999999999999,-0.050000000000000044,0.07499999999999996,-0.09999999999999998,0.09999999999999998,-0.1,0.04999999999999999,-0.25,-0.15000000000000002,0.15000000000000002,-0.29999999999999993,0.4,0.35,-0.65,-0.1,0.75
25,Arsenal,Manchester Utd,2023-01-22,16:30:00,Matchweek 21,Sun,Away,L,2,3,0,0,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.09999999999999998,-0.1499999999999999,-0.050000000000000044,0.07499999999999996,-0.09999999999999998,0.09999999999999998,-0.1,0.04999999999999999,-0.25,-0.15000000000000002,0.15000000000000002,-0.29999999999999993,0.4,0.35,-0.65,-0.1,0.75
26,Arsenal,Newcastle Utd,2023-01-03,19:45:00,Matchweek 19,Tue,Away,D,0,0,0,0,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.6499999999999999,-0.37499999999999994,-0.65,0.25,-0.44999999999999996,-0.6,0.65,0.7,-0.39999999999999997,-0.35,-0.5499999999999999,-0.39999999999999997,0.75,0.7,-0.19999999999999996,0.45,0.1
27,Arsenal,Newcastle Utd,2023-05-07,16:30:00,Matchweek 35,Sun,Home,L,0,2,0,1,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.6499999999999999,-0.37499999999999994,-0.65,0.25,-0.44999999999999996,-0.6,0.65,0.7,-0.39999999999999997,-0.35,-0.5499999999999999,-0.39999999999999997,0.75,0.7,-0.19999999999999996,0.45,0.1
28,Arsenal,Nott'ham Forest,2022-10-30,14:00:00,Matchweek 14,Sun,Away,L,0,5,0,0,0.3,0.15,0.225,0.4,0.05,0.05,0.85,1.0,0.15,0.2,0.05,0.25,0.9,0.55,0.75,0.2,0.2,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.55,-0.5499999999999999,-0.5750000000000001,0.0,-0.7999999999999999,-0.6,0.6,0.7,-0.44999999999999996,-0.6499999999999999,-0.6499999999999999,-0.44999999999999996,0.65,0.4,-0.25,0.0,0.1
30,Arsenal,Southampton,2022-10-23,14:00:00,Matchweek 13,Sun,Home,D,1,1,0,1,0.3,0.2,0.45,0.25,0.8,0.4,0.65,0.65,0.75,0.4,0.65,0.95,0.9,0.65,0.3,0.8,0.6,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.55,-0.49999999999999994,-0.35000000000000003,-0.15000000000000002,-0.04999999999999993,-0.25,0.4,0.35000000000000003,0.15000000000000002,-0.44999999999999996,-0.04999999999999993,0.25,0.65,0.5,-0.7,0.6000000000000001,0.5
31,Arsenal,Southampton,2023-04-21,20:00:00,Matchweek 32,Fri,Away,D,3,3,0,0,0.3,0.2,0.45,0.25,0.8,0.4,0.65,0.65,0.75,0.4,0.65,0.95,0.9,0.65,0.3,0.8,0.6,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.55,-0.49999999999999994,-0.35000000000000003,-0.15000000000000002,-0.04999999999999993,-0.25,0.4,0.35000000000000003,0.15000000000000002,-0.44999999999999996,-0.04999999999999993,0.25,0.65,0.5,-0.7,0.6000000000000001,0.5
32,Arsenal,Tottenham,2022-10-01,12:30:00,Matchweek 9,Sat,Away,L,1,3,0,0,0.6,0.85,0.85,0.6,0.5,0.8,0.1,0.2,0.4,1.0,0.9,0.25,0.8,0.45,0.5,0.3,0.45,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.25,0.15000000000000002,0.04999999999999993,0.19999999999999996,-0.35,0.15000000000000002,-0.15,-0.09999999999999998,-0.19999999999999996,0.15000000000000002,0.20000000000000007,-0.44999999999999996,0.55,0.30000000000000004,-0.5,0.09999999999999998,0.35
33,Arsenal,Tottenham,2023-01-15,16:30:00,Matchweek 20,Sun,Home,L,0,2,0,1,0.6,0.85,0.85,0.6,0.5,0.8,0.1,0.2,0.4,1.0,0.9,0.25,0.8,0.45,0.5,0.3,0.45,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.25,0.15000000000000002,0.04999999999999993,0.19999999999999996,-0.35,0.15000000000000002,-0.15,-0.09999999999999998,-0.19999999999999996,0.15000000000000002,0.20000000000000007,-0.44999999999999996,0.55,0.30000000000000004,-0.5,0.09999999999999998,0.35
34,Arsenal,West Ham,2022-12-26,20:00:00,Matchweek 17,Mon,Away,L,1,3,0,0,0.55,0.5,0.7,0.85,0.65,0.45,0.5,0.5,0.25,0.2,0.45,0.55,0.3,0.8,0.25,0.25,0.8,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.29999999999999993,-0.19999999999999996,-0.10000000000000009,0.44999999999999996,-0.19999999999999996,-0.2,0.25,0.2,-0.35,-0.6499999999999999,-0.24999999999999994,-0.1499999999999999,0.04999999999999999,0.65,-0.75,0.04999999999999999,0.7000000000000001
35,Arsenal,West Ham,2023-04-16,14:00:00,Matchweek 31,Sun,Home,D,2,2,0,1,0.55,0.5,0.7,0.85,0.65,0.45,0.5,0.5,0.25,0.2,0.45,0.55,0.3,0.8,0.25,0.25,0.8,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.29999999999999993,-0.19999999999999996,-0.10000000000000009,0.44999999999999996,-0.19999999999999996,-0.2,0.25,0.2,-0.35,-0.6499999999999999,-0.24999999999999994,-0.1499999999999999,0.04999999999999999,0.65,-0.75,0.04999999999999999,0.7000000000000001
36,Arsenal,Wolves,2022-11-12,19:45:00,Matchweek 16,Sat,Home,L,0,2,0,1,1.0,0.4,0.1,0.3,0.3,0.55,0.3,0.4,0.3,0.35,0.35,0.15,0.95,0.75,0.05,0.75,0.5,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.15000000000000002,-0.29999999999999993,-0.7000000000000001,-0.10000000000000003,-0.55,-0.09999999999999998,0.04999999999999999,0.10000000000000003,-0.3,-0.5,-0.35,-0.5499999999999999,0.7,0.6,-0.95,0.55,0.4
37,Arsenal,Wolves,2023-05-28,16:30:00,Matchweek 38,Sun,Away,L,0,5,0,0,1.0,0.4,0.1,0.3,0.3,0.55,0.3,0.4,0.3,0.35,0.35,0.15,0.95,0.75,0.05,0.75,0.5,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.15000000000000002,-0.29999999999999993,-0.7000000000000001,-0.10000000000000003,-0.55,-0.09999999999999998,0.04999999999999999,0.10000000000000003,-0.3,-0.5,-0.35,-0.5499999999999999,0.7,0.6,-0.95,0.55,0.4
38,Aston Villa,Arsenal,2022-08-31,19:30:00,Matchweek 5,Wed,Home,W,2,1,1,1,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.44999999999999996,0.09999999999999998,0.45000000000000007,-0.4,0.39999999999999997,0.30000000000000004,-0.30000000000000004,-0.45,0.04999999999999993,0.25,0.1499999999999999,0.04999999999999993,-0.44999999999999996,-0.44999999999999996,0.35,-0.14999999999999997,-0.04999999999999999
39,Aston Villa,Arsenal,2023-02-18,12:30:00,Matchweek 24,Sat,Away,W,4,2,1,0,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.44999999999999996,0.09999999999999998,0.45000000000000007,-0.4,0.39999999999999997,0.30000000000000004,-0.30000000000000004,-0.45,0.04999999999999993,0.25,0.1499999999999999,0.04999999999999993,-0.44999999999999996,-0.44999999999999996,0.35,-0.14999999999999997,-0.04999999999999999
40,Aston Villa,Bournemouth,2022-08-06,15:00:00,Matchweek 1,Sat,Home,W,2,0,1,1,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,-0.050000000000000044,-0.39999999999999997,-0.19999999999999998,-0.2250000000000001,-0.35,-0.19999999999999998,-0.050000000000000044,0.15000000000000002,-0.5,-0.09999999999999998,-0.25000000000000006,-0.6,0.15000000000000002,0.30000000000000004,-0.6,0.35,0.0
41,Aston Villa,Bournemouth,2023-03-18,15:00:00,Matchweek 28,Sat,Away,L,0,3,0,0,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,-0.050000000000000044,-0.39999999999999997,-0.19999999999999998,-0.2250000000000001,-0.35,-0.19999999999999998,-0.050000000000000044,0.15000000000000002,-0.5,-0.09999999999999998,-0.25000000000000006,-0.6,0.15000000000000002,0.30000000000000004,-0.6,0.35,0.0
42,Aston Villa,Brentford,2022-10-23,14:00:00,Matchweek 13,Sun,Away,L,0,4,0,0,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.04999999999999999,0.050000000000000044,0.15000000000000002,-0.32500000000000007,-0.35,-0.04999999999999999,0.3999999999999999,-0.050000000000000044,-0.050000000000000044,0.15000000000000002,-0.30000000000000004,-0.050000000000000044,-0.6499999999999999,-0.35,0.25,0.15000000000000002,0.4
43,Aston Villa,Brentford,2023-04-22,15:00:00,Matchweek 32,Sat,Home,D,1,1,0,1,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.04999999999999999,0.050000000000000044,0.15000000000000002,-0.32500000000000007,-0.35,-0.04999999999999999,0.3999999999999999,-0.050000000000000044,-0.050000000000000044,0.15000000000000002,-0.30000000000000004,-0.050000000000000044,-0.6499999999999999,-0.35,0.25,0.15000000000000002,0.4
44,Aston Villa,Brighton,2022-11-13,14:00:00,Matchweek 16,Sun,Home,L,1,2,0,1,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.4,0.15000000000000002,0.20000000000000007,-0.6000000000000001,0.14999999999999997,0.5,0.19999999999999996,-0.5,0.25,-0.35,0.04999999999999993,-0.2,-0.49999999999999994,-0.39999999999999997,-0.25,-0.19999999999999998,0.5499999999999999
